일자,시가,고가,저가,종가,거래량
2018-06-08,"21,200","21,250","20,750","20,750","261,643"
2018-06-07,"20,450","21,100","20,450","21,000","590,409"
2018-06-05,"20,450","20,500","20,250","20,350","209,867"
2018-06-04,"20,350","20,550","20,250","20,400","238,801"
2018-06-01,"20,250","20,350","20,100","20,200","228,130"
2018-05-31,"20,150","20,350","20,100","20,150","224,948"
2018-05-30,"20,150","20,250","20,050","20,100","218,965"
2018-05-29,"20,250","20,350","20,100","20,350","163,649"
2018-05-28,"20,500","20,500","20,100","20,150","313,566"
2018-05-25,"20,050","20,350","20,000","20,100","366,152"
2018-05-24,"20,550","20,650","20,100","20,150","373,514"
2018-05-23,"20,700","20,750","20,400","20,500","309,299"
2018-05-21,"21,000","21,100","20,700","20,750","228,911"
2018-05-18,"20,950","21,050","20,900","21,000","113,569"
2018-05-17,"21,050","21,150","20,900","20,950","137,711"
2018-05-16,"21,400","21,500","20,900","21,100","293,173"
2018-05-15,"21,400","21,700","21,400","21,550","87,731"
2018-05-14,"21,400","21,800","21,400","21,400","281,871"
2018-05-11,"21,000","21,550","21,000","21,400","229,912"
2018-05-10,"21,150","21,250","20,900","21,000","215,315"
2018-05-09,"21,050","21,200","20,950","21,100","165,195"
2018-05-08,"21,450","21,550","21,000","21,050","250,520"
2018-05-04,"21,400","21,600","21,350","21,550","123,592"
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
